,FlowStep,Thingname,ActorModifiedby,Line_number,CreatedBy,tag_number,Created_By,Startedby,"CONVERT_TZ(t3.completed, 'GMT', 'US/Pacific')",PartNumber,created
526,3BM-29500,TG1202550031RA,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,40:19.9,1091594-01-H,08:18.0
527,3BM-29500,TG1202550031DF,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,40:21.0,1093905-01-H,02:07.0
528,3BM-29500,TG1202550032E2,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,41:16.6,1093906-01-H,18:59.0
529,3BM-29500,TG1202550031MZ,3BM3-29500-01,LINE3,ignition-gf1-bm-tag12-prod,tag12,,3BM3-29500-01,41:38.6,1093905-01-H,06:58.0
530,3BM-29500,TG1202550031R5,3BM1-29500-01,LINE1,ignition-gf1-bm-tag12-prod,tag12,,3BM1-29500-01,41:49.3,1091594-01-H,08:17.0
531,3BM-29500,TG1202550032HF,3BM2-29500-01,LINE2,ignition-gf1-bm-tag12-prod,tag12,,3BM2-29500-01,42:37.9,1093906-01-H,20:46.0
532,3BM-40001,TG120255002EVS,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,43:32.6,1093905-01-H,32:17.0
533,3BM-40001,TG120255002P8E,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,44:18.2,1091594-01-H,33:58.0
534,3BM-40001,TG120255002N23,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,44:28.6,1093906-01-H,16:35.0
535,3BM-40001,TG120255002BKE,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,44:51.3,1093905-01-H,51:53.0
536,3BM-40001,TG120255002P0V,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,45:18.1,1093906-01-H,30:42.0
537,3BM-40001,TG120255002STD,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,45:51.5,1093905-01-H,04:07.0
538,3BM-40001,TG120255002P8F,3BM1-40001-01,LINE1,ignition-gf1-bm-tag2-prod,tag2-,,3BM1-40001-01,46:10.9,1091594-01-H,33:58.0
539,3BM-40001,TG120255002S1T,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,46:31.2,1093905-01-H,52:48.0
540,3BM-40001,TG120255002STG,3BM2-40001-01,LINE2,ignition-gf1-bm-tag2-prod,tag2-,,3BM2-40001-01,47:16.5,1093905-01-H,04:08.0
541,3BM-40001,TG120255002S1V,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,48:03.4,1093905-01-H,52:49.0
542,3BM-40001,TG120255002S1W,3BM3-40001-01,LINE3,ignition-gf1-bm-tag2-prod,tag2-,,3BM3-40001-01,48:47.5,1093905-01-H,52:49.0
